G1	D	p	lam	q	tau
0.5854382459794158	501	50	0	0	1095038.107166329
0.5475404736703066	501	50	0	0	1231917.870562121
0.5120959765880495	501	50	0	0	1368797.633957912
0.47894594436058	501	50	0	0	1505677.397353703
0.4479418470496392	501	50	0	0	1642557.160749494
0.4189447696568818	501	50	0	0	1779436.924145285
0.3918247897109093	501	50	0	0	1916316.687541076
0.3664603951439205	501	50	0	0	2053196.450936867
0.3427379398535894	501	50	0	0	2190076.214332658
0.3205511345066521	501	50	0	0	2326955.97772845
0.2998005703056941	501	50	0	0	2463835.741124241
0.2803932735844521	501	50	0	0	2600715.504520032
0.2622422892366916	501	50	0	0	2737595.267915823
0.2452662911094986	501	50	0	0	2874475.031311614
0.2293892176189591	501	50	0	0	3011354.794707405
0.2145399309535624	501	50	0	0	3148234.558103197
0.200651898338063	501	50	0	0	3285114.321498988
0.1876628939319454	501	50	0	0	3421994.084894779
0.1755147200230928	501	50	0	0	3558873.84829057
0.1641529462716266	501	50	0	0	3695753.611686361
0.1535266658323819	501	50	0	0	3832633.375082152
0.1435882672650615	501	50	0	0	3969513.138477944
0.1342932212095095	501	50	0	0	4106392.901873735
0.1255998808700167	501	50	0	0	4243272.665269526
0.1174692954155056	501	50	0	0	4380152.428665317
0.1098650354589173	501	50	0	0	4517032.192061109
0.1027530298337887	501	50	0	0	4653911.955456899
0.09610141293742978	501	50	0	0	4790791.71885269
0.08988038195571385	501	50	0	0	4927671.482248482
0.08406206333053701	501	50	0	0	5064551.245644273
0.07862038787139299	501	50	0	0	5201431.009040063
0.07353097395124576	501	50	0	0	5338310.772435855
0.06877101826399977	501	50	0	0	5475190.535831646
0.06431919365300826	501	50	0	0	5612070.299227437
0.06015555355442516	501	50	0	0	5748950.062623229
0.05626144262566846	501	50	0	0	5885829.82601902
0.05261941315953964	501	50	0	0	6022709.589414811
0.04921314690912466	501	50	0	0	6159589.352810603
0.0460273819731701	501	50	0	0	6296469.116206394
0.04304784441473897	501	50	0	0	6433348.879602185
0.04026118430625511	501	50	0	0	6570228.642997976
0.03765491591461274	501	50	0	0	6707108.406393766
0.03521736175845324	501	50	0	0	6843988.169789557
0.03293760028672412	501	50	0	0	6980867.933185349
0.03080541694428147	501	50	0	0	7117747.69658114
