G2	D	p	lam	q	t
0.9999997532918095	501	50	0.5	0	3809.6765049519
0.9999997901131263	501	50	0.5	0	3890.733451865771
0.9999387042665301	501	50	0	-1	2107.480619760626
0.9999998215739192	501	50	0.5	0	3971.790398779641
0.9999442964252112	501	50	0	-1	2188.537566674496
0.9999998478923529	501	50	0.5	0	4052.847345693511
0.9999476145773434	501	50	0	-1	2269.594513588366
0.9999998706913442	501	50	0.5	0	4133.904292607382
0.9999998898520069	501	50	0.5	0	4214.961239521252
0.9999525000602356	501	50	0	-1	2350.651460502237
0.999999906532488	501	50	0.5	0	4296.018186435122
0.9999551645778715	501	50	0	-1	2431.708407416107
0.9999999208554197	501	50	0.5	0	4377.075133348992
0.9999594481918688	501	50	0	-1	2512.765354329977
0.999999932631326	501	50	0.5	0	4458.132080262862
0.99999994249896	501	50	0.5	0	4539.189027176732
0.9999634657087925	501	50	0	-1	2593.822301243847
0.9999999509223079	501	50	0.5	0	4620.245974090602
0.9999653315886391	501	50	0	-1	2674.879248157717
0.999999958568316	501	50	0.5	0	4701.302921004473
0.9999669713099364	501	50	0	-1	2755.936195071587
0.9999999649613462	501	50	0.5	0	4782.359867918343
0.9999999701827853	501	50	0.5	0	4863.416814832213
0.9999722145277786	501	50	0	-1	2836.993141985457
0.9999999748700591	501	50	0.5	0	4944.473761746083
0.9999734526526932	501	50	0	-1	2918.050088899328
0.9999999787092333	501	50	0.5	0	5025.530708659953
0.9999745133901061	501	50	0	-1	2999.107035813198
0.9999999821456412	501	50	0.5	0	5106.587655573824
0.9999999851450608	501	50	0.5	0	5187.644602487694
0.9999754081833814	501	50	0	-1	3080.163982727068
0.9999999872623726	501	50	0.5	0	5268.701549401565
0.999979966845723	501	50	0	-1	3161.220929640939
0.9999999890297069	501	50	0.5	0	5349.758496315435
0.9999805736023908	501	50	0	-1	3242.277876554809
0.9999999910205335	501	50	0.5	0	5430.815443229305
0.9999999926701287	501	50	0.5	0	5511.872390143175
0.9999810517145626	501	50	0	-1	3323.334823468679
0.9999999934729166	501	50	0.5	0	5592.929337057045
0.9999852246923342	501	50	0	-1	3404.391770382549
0.9999999947725206	501	50	0.5	0	5673.986283970915
0.9999854754429663	501	50	0	-1	3485.44871729642
0.9999999959716992	501	50	0.5	0	5755.043230884787
0.9999999963534938	501	50	0.5	0	5836.100177798657
0.9999856263139005	501	50	0	-1	3566.50566421029
0.9999999979511045	501	50	0.5	0	5917.157124712527
0.9999856836710677	501	50	0	-1	3647.56261112416
0.9999999984848125	501	50	0.5	0	5998.214071626397
0.9999894677557042	501	50	0	-1	3728.61955803803
0.9999999983891377	501	50	0.5	0	6079.271018540267
0.9999999989259692	501	50	0.5	0	6160.327965454137
0.999989359834814	501	50	0	-1	3809.6765049519
0.9999999996242495	501	50	0.5	0	6241.384912368007
0.9999891796953546	501	50	0	-1	3890.733451865771
0.9999999995694993	501	50	0.5	0	6322.441859281878
1.000000000114536	501	50	0.5	0	6403.498806195748
0.9999889298678756	501	50	0	-1	3971.790398779641
1.000000000386654	501	50	0.5	0	6484.555753109618
0.9999924332030826	501	50	0	-1	4052.847345693511
1.000000000543459	501	50	0.5	0	6565.612700023488
0.9999920662940531	501	50	0	-1	4133.904292607382
1.000000001233065	501	50	0.5	0	6646.669646937358
1.00000000077376	501	50	0.5	0	6727.726593851228
0.9999916468422948	501	50	0	-1	4214.961239521252
1.000000000944215	501	50	0.5	0	6808.783540765098
0.9999949907666663	501	50	0	-1	4296.018186435122
1.000000001132406	501	50	0.5	0	6889.840487678969
0.9999944780206325	501	50	0	-1	4377.075133348992
1.000000000341468	501	50	0.5	0	6970.89743459284
1.000000000403185	501	50	0.5	0	7051.95438150671
0.9999939241363951	501	50	0	-1	4458.132080262862
1.000000000773529	501	50	0.5	0	7133.01132842058
0.9999933315919112	501	50	0	-1	4539.189027176732
1.000000000620799	501	50	0.5	0	7214.06827533445
0.9999965172581914	501	50	0	-1	4620.245974090602
1.000000001173879	501	50	0.5	0	7295.12522224832
1.000000001160709	501	50	0.5	0	7376.182169162191
0.9999958577292442	501	50	0	-1	4701.302921004473
1.000000001115636	501	50	0.5	0	7457.239116076061
0.9999951653449922	501	50	0	-1	4782.359867918343
1.000000001194011	501	50	0.5	0	7538.296062989931
0.9999944473420403	501	50	0	-1	4863.416814832213
1.000000001411531	501	50	0.5	0	7619.353009903801
1.000000001431415	501	50	0.5	0	7700.409956817672
0.9999975171680924	501	50	0	-1	4944.473761746083
1.000000001163981	501	50	0.5	0	7781.466903731542
0.9999967509838115	501	50	0	-1	5025.530708659953
1.000000001169079	501	50	0.5	0	7862.523850645412
0.9999959632343828	501	50	0	-1	5106.587655573824
1.000000001223148	501	50	0.5	0	7943.580797559282
1.000000001939903	501	50	0.5	0	8024.637744473152
